District,Contacted
304,0
313,0
313,1
310,0
310,1
304,1
304,0
304,0
304,0
304,1
304,0
304,0
304,0
304,0
304,0
304,0
304,1
304,0
304,1
309,1
309,0
309,0
309,0
309,1
309,1
309,0
312,0
312,0
312,0
312,0
311,0
307,0
307,1
307,1
307,0
307,0
307,1
310,0
310,0
310,0
310,0
307,0
307,1
307,0
307,0
307,1
307,0
307,0
307,0
309,0
309,0
317,0
317,0
317,0
317,1
314,1
314,1
314,0
304,0
304,0
304,0
304,1
304,0
304,1
304,0
304,0
304,1
304,0
304,0
304,0
304,0
304,0
304,0
304,1
311,0
311,1
311,0
311,0
311,0
311,0
311,0
304,0
310,0
310,0
310,0
310,0
310,0
311,0
310,0
310,0
311,0
311,0
311,0
311,0
311,0
311,0
311,0
311,0
313,0
313,1
313,0
313,0
313,0
310,0
310,0
310,1
310,1
310,0
310,0
310,0
313,0
313,0
313,1
310,0
310,0
310,0
310,0
310,1
310,0
310,0
313,0
313,1
313,1
313,1
313,0
313,0
313,0
310,0
310,0
310,1
310,0
310,1
313,0
313,0
313,0
313,1
313,0
313,1
313,1
313,0
313,0
314,1
314,1
314,0
314,0
314,0
314,1
314,1
314,0
314,0
314,0
314,0
314,0
314,0
314,0
314,0
314,0
309,0
309,1
312,0
312,0
312,0
312,0
312,0
312,0
312,0
312,0
312,0
312,0
312,0
312,0
312,0
312,1
312,0
312,0
312,0
312,0
312,0
307,0
307,1
307,0
307,1
307,0
311,0
311,1
311,0
311,0
311,0
314,0
314,1
314,0
311,0
311,0
311,0
314,1
314,0
314,1
314,0
314,0
314,0
314,0
314,1
314,0
314,0
314,0
312,0
314,0
314,0
314,0
314,0
314,1
311,1
311,0
311,1
311,0
310,0
310,0
310,1
310,0
310,0
310,0
310,1
310,0
310,0
310,0
310,1
310,0
307,0
307,1
307,0
307,0
307,1
307,0
307,0
307,0
307,0
307,1
307,0
307,0
307,0
307,0
307,0
307,0
307,0
307,0
307,1
307,0
307,0
310,0
310,0
310,0
310,0
310,0
310,0
310,0
310,0
310,0
310,0
310,0
310,0
310,0
310,0
310,0
310,0
308,0
308,0
308,0
308,0
308,1
308,0
308,0
308,0
308,1
308,1
308,0
308,1
308,0
308,0
308,0
308,0
308,1
308,0
308,0
308,0
308,0
308,0
308,0
308,0
308,1
309,1
309,0
309,0
309,0
308,0
308,0
308,1
308,1
308,1
308,1
308,1
308,0
308,0
308,0
308,0
308,0
308,0
308,1
308,1
308,0
312,0
312,0
312,0
312,0
312,0
312,0
312,0
312,0
314,0
312,0
314,0
314,0
312,0
312,0
314,0
312,0
317,1
317,0
317,1
317,1
317,0
317,0
317,0
317,0
304,0
304,0
304,0
304,0
304,1
304,1
304,1
310,0
310,0
310,0
310,0
310,0
310,0
310,0
310,0
310,0
310,0
310,0
310,0
314,1
314,0
314,0
314,1
314,1
314,0
314,0
314,0
314,0
305,0
305,0
305,0
305,0
305,1
305,1
316,0
316,0
305,0
305,0
305,0
305,1
316,0
316,0
316,0
316,0
316,1
305,0
305,0
305,0
305,1
305,0
305,0
305,0
317,0
317,0
317,0
317,0
317,1
317,0
317,0
317,0
317,0
317,0
317,0
317,1
317,0
317,0
317,0
317,0
306,0
306,0
306,0
306,0
306,0
306,0
306,0
306,0
306,1
306,0
306,0
306,0
306,0
311,0
306,1
306,1
313,1
313,0
313,1
313,1
313,1
313,0
313,1
313,0
313,0
313,0
313,0
313,0
313,0
313,0
317,0
317,0
317,0
317,0
317,0
317,0
317,0
317,0
315,0
315,0
315,0
315,0
314,1
314,1
314,0
314,0
314,0
314,0
314,0
316,0
316,1
316,0
316,0
316,0
316,0
316,0
316,0
316,1
316,0
316,0
315,0
315,0
315,0
315,0
315,0
315,0
315,0
315,0
315,0
315,1
315,0
315,0
315,0
315,0
315,0
315,0
315,0
315,0
315,0
308,0
308,0
308,1
308,0
305,0
305,0
305,0
305,1
305,0
305,0
306,0
306,0
306,0
306,0
306,0
306,0
306,0
306,0
306,0
306,0
306,0
306,0
304,0
304,0
304,1
304,0
304,0
304,1
304,0
304,0
304,1
304,1
304,0
304,0
304,0
304,0
304,0
304,0
304,1
304,0
304,1
304,0
304,0
304,0
304,0
304,1
304,0
304,0
304,0
304,0
304,0
304,0
304,0
304,0
304,0
304,0
304,1
304,0
304,1
304,1
304,0
304,1
304,0
304,0
304,0
304,0
304,1
304,0
304,0
304,0
304,1
304,0
304,1
304,1
304,0
304,0
304,1
304,0
304,0
304,0
311,0
311,0
311,0
311,0
311,0
311,0
311,0
311,0
310,0
310,0
310,0
311,0
311,0
311,0
310,0
304,0
311,0
311,1
310,0
310,1
310,0
310,1
310,0
311,0
311,0
311,0
311,1
310,0
310,0
310,0
310,0
310,0
310,0
310,0
310,0
310,1
310,1
313,1
313,1
313,1
313,1
313,0
313,0
314,0
314,0
314,0
314,0
310,0
310,0
310,0
310,0
310,0
313,0
313,0
313,0
313,0
313,0
313,1
313,0
313,0
313,0
310,0
310,0
310,1
310,0
310,0
310,0
313,0
313,0
313,0
313,0
313,0
313,0
313,0
313,0
314,0
314,0
314,0
314,1
314,0
314,1
314,1
314,0
314,0
314,0
314,1
314,0
314,0
314,0
314,0
314,0
309,1
309,0
309,1
312,0
312,0
312,1
312,1
312,0
314,0
314,0
312,0
312,0
312,0
312,0
312,0
312,1
312,0
312,0
314,1
314,1
314,0
312,0
312,0
311,1
311,0
311,0
311,0
311,0
311,0
314,0
314,0
314,0
314,0
314,0
314,0
314,0
314,0
314,1
314,0
314,0
314,0
311,0
311,0
311,0
311,0
311,0
311,0
311,0
311,0
311,0
311,0
310,1
310,0
310,0
310,0
310,0
310,1
304,1
311,1
311,0
311,0
311,0
311,0
311,1
311,0
311,1
311,1
311,0
311,1
311,1
311,0
307,0
307,0
307,0
307,0
307,0
307,0
307,1
307,0
307,0
307,0
307,0
307,1
307,1
307,0
307,0
307,0
310,1
310,0
310,0
310,0
310,0
310,0
310,0
310,0
310,0
310,0
310,0
310,0
310,0
310,0
310,0
308,0
308,0
308,1
308,0
308,1
308,0
308,1
308,1
308,1
308,1
308,0
308,0
308,1
308,0
308,0
308,0
308,0
308,0
308,0
308,0
308,1
308,0
308,0
308,0
309,0
309,0
309,1
309,1
309,0
309,1
309,0
308,0
308,0
308,0
308,0
308,0
308,0
308,1
308,1
308,1
308,0
308,0
308,0
308,1
308,0
308,0
308,1
312,0
312,0
312,0
312,0
312,0
312,0
312,1
312,0
312,1
312,0
312,0
312,0
312,0
312,0
312,0
312,0
317,0
317,0
317,0
317,1
317,0
317,0
317,0
317,0
304,0
304,0
304,1
304,0
304,0
304,0
304,0
304,0
310,1
310,0
310,0
310,0
310,0
310,0
310,0
310,0
310,0
310,1
310,0
314,1
314,0
314,1
314,1
314,0
314,0
307,0
307,0
307,0
307,1
307,0
314,0
314,0
314,0
314,0
314,0
314,0
314,1
305,0
305,0
305,0
305,0
305,0
305,0
316,0
316,0
316,0
316,0
305,0
316,0
316,0
316,0
316,0
316,1
316,0
316,0
316,0
305,0
305,0
305,0
305,0
305,0
305,0
305,0
305,0
315,0
317,0
317,1
317,1
317,1
317,0
317,0
317,0
317,1
317,0
317,0
317,0
317,0
317,0
317,0
317,0
317,0
317,1
317,1
317,0
317,0
306,0
306,1
308,0
310,0
310,0
310,1
310,0
310,0
310,1
310,1
310,0
310,0
313,0
313,1
313,0
313,1
313,0
313,0
313,1
313,0
313,0
313,0
313,0
313,0
313,0
313,0
313,0
313,0
317,1
317,1
317,0
317,0
317,1
317,0
317,0
317,1
315,0
315,0
315,0
315,1
315,1
315,0
315,1
315,0
315,1
315,0
315,0
315,0
315,1
315,0
315,1
315,0
314,1
314,0
314,0
314,0
314,0
314,1
314,0
314,0
314,0
316,0
316,0
316,1
316,0
316,0
316,0
316,0
316,0
316,0
316,0
316,0
316,0
315,0
315,0
315,0
315,0
315,0
315,0
315,0
315,0
315,0
315,0
315,0
315,0
308,0
305,0
305,0
305,1
305,0
305,0
305,0
305,0
305,0
306,0
306,0
306,0
306,0
306,0
306,0
306,1
306,0
306,1
306,1
306,0
306,0
304,1
304,0
304,0
304,0
304,0
304,0
304,0
304,0
304,0
304,0
304,0
304,0
304,0
304,0
304,0
304,0
304,1
304,0
304,0
304,0
304,0
304,0
304,1
304,0
304,0
304,0
304,0
304,0
304,0
304,0
304,0
304,0
304,0
304,0
304,1
304,0
304,0
304,0
304,0
304,0
304,0
304,0
304,0
304,0
304,0
304,0
304,0
304,1
307,0
307,0
307,0
307,0
307,1
307,0
307,0
307,0
307,0
307,1
307,0
307,1
307,1
307,0
307,0
307,1
307,0
307,0
307,0
307,1
307,0
307,0
307,0
307,0
307,0
307,0
307,0
307,0
307,0
307,0
307,0
307,0
307,0
307,0
307,0
307,1
307,1
307,0
307,1
307,1
307,0
307,0
310,0
310,0
310,0
310,0
310,1
310,0
304,0
304,0
304,1
304,1
304,1
304,1
304,0
304,0
304,0
304,0
304,0
304,0
311,0
311,1
311,0
311,1
311,0
311,0
311,0
311,0
311,1
311,0
307,0
311,0
311,0
311,0
311,0
311,0
307,0
307,0
310,1
310,0
310,0
310,0
310,1
310,0
310,0
310,0
310,1
310,0
310,0
310,0
310,0
310,0
310,1
310,0
310,0
310,0
310,0
310,1
310,0
304,0
310,0
310,0
310,0
310,0
310,1
310,0
310,0
310,0
310,1
310,0
310,1
310,0
310,0
310,1
310,0
310,1
310,0
310,0
310,0
310,0
310,0
310,0
310,0
310,0
304,0
304,0
310,0
304,0
310,1
