"","Contacted","Age","Male","Education","Married","Union.Member","Household.Income","Urban","Close.To.Party","District.Competitiveness","ENEP","PR","Alpha.Polity","District","District.Country"
"9107",1,58,0,8,1,1,5,1,0,0.74015799,2.96441381295889,0,"Canada",7,"Canada10007"
"9114",0,52,1,8,0,1,3,0,1,0.420428940830503,2.37065948546495,0,"Canada",4,"Canada10004"
"9115",0,40,0,8,0,1,3,0,0,0.69218164,2.75749943333387,0,"Canada",5,"Canada10005"
"9117",0,43,1,4,1,1,1,0,0,0.69218164,2.75749943333387,0,"Canada",5,"Canada10005"
"9119",1,37,0,4,1,1,2,0,0,0.61034166,2.28046582619338,0,"Canada",1,"Canada10001"
"9120",0,42,0,8,1,0,5,1,0,0.742198892356482,2.89624690713413,0,"Canada",6,"Canada10006"
"9129",1,37,1,8,1,0,5,1,0,0.742198892356482,2.89624690713413,0,"Canada",6,"Canada10006"
"9130",1,56,0,6,0,1,3,1,0,0.742198892356482,2.89624690713413,0,"Canada",6,"Canada10006"
"9131",1,51,0,6,1,1,3,0,0,0.74015799,2.96441381295889,0,"Canada",7,"Canada10007"
"9133",0,41,1,5,1,1,2,0,0,0.821594626328459,2.42679176163411,0,"Canada",2,"Canada10002"
"9136",1,46,1,4,1,1,2,0,0,0.61034166,2.28046582619338,0,"Canada",1,"Canada10001"
"9137",1,52,1,8,1,1,5,1,1,0.51803676,2.16687625416089,0,"Canada",3,"Canada10003"
"9141",1,20,0,4,0,1,1,0,1,0.51803676,2.16687625416089,0,"Canada",3,"Canada10003"
"9142",1,25,0,8,0,1,3,1,0,0.821594626328459,2.42679176163411,0,"Canada",2,"Canada10002"
"9146",1,53,0,6,1,0,3,1,0,0.420428940830503,2.37065948546495,0,"Canada",4,"Canada10004"
"9149",0,28,0,6,0,1,3,0,0,0.742198892356482,2.89624690713413,0,"Canada",6,"Canada10006"
"9152",1,51,1,7,1,1,3,0,1,0.69218164,2.75749943333387,0,"Canada",5,"Canada10005"
"9153",0,49,1,5,0,0,1,0,0,0.66996328,2.45834494286733,0,"Canada",8,"Canada11001"
"9157",0,59,0,5,1,0,1,1,1,0.613182939505478,2.81517756816967,0,"Canada",9,"Canada11002"
"9159",0,36,1,5,1,0,2,0,0,0.66996328,2.45834494286733,0,"Canada",8,"Canada11001"
"9166",1,48,1,6,1,0,5,0,0,0.66996328,2.45834494286733,0,"Canada",8,"Canada11001"
"9167",1,47,0,8,0,0,3,1,0,0.613182939505478,2.81517756816967,0,"Canada",9,"Canada11002"
"9171",1,41,0,8,1,1,3,1,1,0.66996328,2.45834494286733,0,"Canada",8,"Canada11001"
