district_id,contacted
District 313,Not Contacted
District 313,Contacted
District 310,Not Contacted
District 304,Contacted
District 304,Not Contacted
District 304,Not Contacted
District 304,Not Contacted
District 304,Contacted
District 304,Not Contacted
District 304,Not Contacted
District 304,Not Contacted
District 304,Not Contacted
District 304,Not Contacted
District 304,Contacted
District 304,Not Contacted
District 304,Contacted
District 309,Contacted
District 309,Not Contacted
District 309,Not Contacted
District 309,Contacted
District 309,Contacted
District 309,Not Contacted
District 312,Not Contacted
District 312,Not Contacted
District 312,Not Contacted
District 312,Not Contacted
District 311,Not Contacted
District 307,Not Contacted
District 307,Contacted
District 307,Contacted
District 307,Not Contacted
District 307,Not Contacted
District 307,Contacted
District 310,Not Contacted
District 310,Not Contacted
District 310,Not Contacted
District 310,Not Contacted
District 307,Not Contacted
District 307,Contacted
District 307,Not Contacted
District 307,Contacted
District 307,Not Contacted
District 307,Not Contacted
District 307,Not Contacted
District 309,Not Contacted
District 309,Not Contacted
District 317,Not Contacted
District 317,Not Contacted
District 317,Not Contacted
District 317,Contacted
District 314,Contacted
District 314,Contacted
District 314,Not Contacted
District 304,Not Contacted
District 304,Not Contacted
District 304,Not Contacted
District 304,Contacted
District 304,Not Contacted
District 304,Contacted
District 304,Not Contacted
District 304,Not Contacted
District 304,Contacted
District 304,Not Contacted
District 304,Not Contacted
District 304,Not Contacted
District 304,Not Contacted
District 304,Not Contacted
District 304,Not Contacted
District 304,Contacted
District 311,Not Contacted
District 311,Contacted
District 311,Not Contacted
District 311,Not Contacted
District 311,Not Contacted
District 311,Not Contacted
District 311,Not Contacted
District 304,Not Contacted
District 310,Not Contacted
District 310,Not Contacted
District 310,Not Contacted
District 311,Not Contacted
District 310,Not Contacted
District 310,Not Contacted
District 311,Not Contacted
District 311,Not Contacted
District 311,Not Contacted
District 311,Not Contacted
District 311,Not Contacted
District 311,Not Contacted
District 313,Not Contacted
District 313,Contacted
District 313,Not Contacted
District 313,Not Contacted
District 313,Not Contacted
District 310,Not Contacted
District 310,Not Contacted
District 310,Contacted
District 310,Contacted
District 310,Not Contacted
District 310,Not Contacted
District 310,Not Contacted
District 313,Not Contacted
District 313,Not Contacted
District 313,Contacted
District 310,Not Contacted
District 310,Not Contacted
District 310,Not Contacted
District 310,Not Contacted
District 310,Contacted
District 310,Not Contacted
District 310,Not Contacted
District 313,Not Contacted
District 313,Contacted
District 313,Contacted
District 313,Not Contacted
District 313,Not Contacted
District 313,Not Contacted
District 310,Not Contacted
District 310,Not Contacted
District 310,Not Contacted
District 310,Contacted
District 313,Not Contacted
District 313,Not Contacted
District 313,Not Contacted
District 313,Contacted
District 313,Not Contacted
District 313,Contacted
District 313,Contacted
District 313,Not Contacted
District 313,Not Contacted
District 314,Contacted
District 314,Not Contacted
District 314,Not Contacted
District 314,Not Contacted
District 314,Contacted
District 314,Contacted
District 314,Not Contacted
District 314,Not Contacted
District 314,Not Contacted
District 314,Not Contacted
District 314,Not Contacted
District 314,Not Contacted
District 314,Not Contacted
District 314,Not Contacted
District 309,Not Contacted
District 309,Contacted
District 312,Not Contacted
District 312,Not Contacted
District 312,Not Contacted
District 312,Not Contacted
District 312,Not Contacted
District 312,Not Contacted
District 312,Not Contacted
District 312,Not Contacted
District 312,Not Contacted
District 312,Not Contacted
District 312,Contacted
District 312,Not Contacted
District 312,Not Contacted
District 312,Not Contacted
District 307,Not Contacted
District 307,Contacted
District 307,Not Contacted
District 307,Contacted
District 307,Not Contacted
District 311,Not Contacted
District 311,Contacted
District 311,Not Contacted
District 311,Not Contacted
District 311,Not Contacted
District 314,Not Contacted
District 314,Contacted
District 314,Not Contacted
District 311,Not Contacted
District 311,Not Contacted
District 311,Not Contacted
District 314,Contacted
District 314,Not Contacted
District 314,Contacted
District 314,Not Contacted
District 314,Not Contacted
District 314,Contacted
District 314,Not Contacted
District 314,Not Contacted
District 314,Not Contacted
District 312,Not Contacted
District 314,Not Contacted
District 314,Not Contacted
District 314,Not Contacted
District 314,Contacted
District 311,Contacted
District 311,Not Contacted
District 311,Contacted
District 311,Not Contacted
District 310,Not Contacted
District 310,Not Contacted
District 310,Contacted
District 310,Not Contacted
District 310,Not Contacted
District 310,Not Contacted
District 310,Contacted
District 310,Not Contacted
District 310,Not Contacted
District 310,Not Contacted
District 310,Contacted
District 310,Not Contacted
District 307,Not Contacted
District 307,Contacted
District 307,Not Contacted
District 307,Not Contacted
District 307,Contacted
District 307,Not Contacted
District 307,Not Contacted
District 307,Not Contacted
District 307,Not Contacted
District 307,Contacted
District 307,Not Contacted
District 307,Not Contacted
District 307,Not Contacted
District 307,Not Contacted
District 307,Not Contacted
District 307,Not Contacted
District 307,Not Contacted
District 307,Not Contacted
District 307,Contacted
District 307,Not Contacted
District 307,Not Contacted
District 310,Not Contacted
District 310,Not Contacted
District 310,Not Contacted
District 310,Not Contacted
District 310,Not Contacted
District 310,Not Contacted
District 310,Not Contacted
District 310,Not Contacted
District 310,Not Contacted
District 310,Not Contacted
District 310,Not Contacted
District 310,Not Contacted
District 310,Not Contacted
District 308,Not Contacted
District 308,Not Contacted
District 308,Not Contacted
District 308,Not Contacted
District 308,Contacted
District 308,Not Contacted
District 308,Not Contacted
District 308,Not Contacted
District 308,Contacted
District 308,Contacted
District 308,Not Contacted
District 308,Contacted
District 308,Not Contacted
District 308,Not Contacted
District 308,Not Contacted
District 308,Not Contacted
District 308,Contacted
District 308,Not Contacted
District 308,Not Contacted
District 308,Not Contacted
District 308,Not Contacted
District 308,Not Contacted
District 308,Not Contacted
District 308,Not Contacted
District 308,Contacted
District 309,Contacted
District 309,Not Contacted
District 309,Not Contacted
District 308,Not Contacted
District 308,Not Contacted
District 308,Contacted
District 308,Contacted
District 308,Contacted
District 308,Contacted
District 308,Contacted
District 308,Not Contacted
District 308,Not Contacted
District 308,Not Contacted
District 308,Not Contacted
District 308,Not Contacted
District 308,Not Contacted
District 308,Contacted
District 308,Contacted
District 308,Not Contacted
District 312,Not Contacted
District 312,Not Contacted
District 312,Not Contacted
District 312,Not Contacted
District 312,Not Contacted
District 312,Not Contacted
District 312,Not Contacted
District 314,Not Contacted
District 312,Not Contacted
District 314,Not Contacted
District 314,Not Contacted
District 312,Not Contacted
District 312,Not Contacted
District 314,Not Contacted
District 312,Not Contacted
District 317,Contacted
District 317,Not Contacted
District 317,Contacted
District 317,Contacted
District 317,Not Contacted
District 317,Not Contacted
District 317,Not Contacted
District 317,Not Contacted
District 304,Not Contacted
District 304,Contacted
District 304,Contacted
District 304,Contacted
District 310,Not Contacted
District 310,Not Contacted
District 310,Not Contacted
District 310,Not Contacted
District 310,Not Contacted
District 310,Not Contacted
District 310,Not Contacted
District 310,Not Contacted
District 310,Not Contacted
District 310,Not Contacted
District 310,Not Contacted
District 310,Not Contacted
District 314,Contacted
District 314,Not Contacted
District 314,Not Contacted
District 314,Contacted
District 314,Not Contacted
District 314,Not Contacted
District 314,Not Contacted
District 314,Not Contacted
District 305,Not Contacted
District 305,Not Contacted
District 305,Not Contacted
District 305,Not Contacted
District 305,Contacted
District 305,Contacted
District 316,Not Contacted
District 305,Not Contacted
District 305,Not Contacted
District 305,Not Contacted
District 305,Contacted
District 316,Not Contacted
District 316,Not Contacted
District 316,Not Contacted
District 316,Not Contacted
District 316,Contacted
District 305,Not Contacted
District 305,Not Contacted
District 305,Not Contacted
District 305,Contacted
District 305,Not Contacted
District 305,Not Contacted
District 305,Not Contacted
District 317,Not Contacted
District 317,Not Contacted
District 317,Not Contacted
District 317,Not Contacted
District 317,Not Contacted
District 317,Not Contacted
District 317,Not Contacted
District 317,Not Contacted
District 317,Contacted
District 317,Not Contacted
District 317,Not Contacted
District 306,Not Contacted
District 306,Not Contacted
District 306,Not Contacted
District 306,Not Contacted
District 306,Not Contacted
District 306,Not Contacted
District 306,Not Contacted
District 306,Not Contacted
District 306,Contacted
District 306,Not Contacted
District 306,Not Contacted
District 306,Not Contacted
District 306,Not Contacted
District 311,Not Contacted
District 306,Contacted
District 306,Contacted
District 313,Contacted
District 313,Contacted
District 313,Not Contacted
District 313,Not Contacted
District 313,Not Contacted
District 313,Not Contacted
District 313,Not Contacted
District 317,Not Contacted
District 317,Not Contacted
District 317,Not Contacted
District 317,Not Contacted
District 317,Not Contacted
District 317,Not Contacted
District 315,Not Contacted
District 315,Not Contacted
District 315,Not Contacted
District 315,Not Contacted
District 314,Contacted
District 314,Contacted
District 314,Not Contacted
District 314,Not Contacted
District 314,Not Contacted
District 314,Not Contacted
District 314,Not Contacted
District 316,Not Contacted
District 316,Contacted
District 316,Not Contacted
District 316,Not Contacted
District 316,Not Contacted
District 316,Not Contacted
District 316,Not Contacted
District 316,Not Contacted
District 316,Contacted
District 316,Not Contacted
District 315,Not Contacted
District 315,Not Contacted
District 315,Not Contacted
District 315,Not Contacted
District 315,Not Contacted
District 315,Not Contacted
District 315,Not Contacted
District 315,Contacted
District 315,Not Contacted
District 315,Not Contacted
District 315,Not Contacted
District 315,Not Contacted
District 315,Not Contacted
District 315,Not Contacted
District 315,Not Contacted
District 315,Not Contacted
District 308,Not Contacted
District 308,Not Contacted
District 308,Contacted
District 305,Not Contacted
District 305,Not Contacted
District 305,Not Contacted
District 305,Contacted
District 305,Not Contacted
District 306,Not Contacted
District 306,Not Contacted
District 306,Not Contacted
District 306,Not Contacted
District 306,Not Contacted
District 306,Not Contacted
District 306,Not Contacted
District 306,Not Contacted
District 306,Not Contacted
District 306,Not Contacted
District 306,Not Contacted
District 306,Not Contacted
District 304,Not Contacted
District 304,Not Contacted
District 304,Contacted
District 304,Not Contacted
District 304,Contacted
District 304,Not Contacted
District 304,Not Contacted
District 304,Contacted
District 304,Not Contacted
District 304,Not Contacted
District 304,Not Contacted
District 304,Not Contacted
District 304,Not Contacted
District 304,Not Contacted
District 304,Contacted
District 304,Not Contacted
District 304,Contacted
District 304,Not Contacted
District 304,Not Contacted
District 304,Not Contacted
District 304,Not Contacted
District 304,Contacted
District 304,Not Contacted
District 304,Not Contacted
District 304,Not Contacted
District 304,Not Contacted
District 304,Not Contacted
District 304,Not Contacted
District 304,Not Contacted
District 304,Not Contacted
District 304,Not Contacted
District 304,Not Contacted
District 304,Contacted
District 304,Not Contacted
District 304,Contacted
District 304,Not Contacted
District 304,Contacted
District 304,Not Contacted
District 304,Not Contacted
District 304,Not Contacted
District 304,Not Contacted
