location,year,mon,osvAll,troopLag,policeLag,militaryobserversLag,brv_AllLag,osvAllLagDum,incomp,epduration,lntpop
Ethiopia,1991,2,4,0,0,0,0,1,2,2,10.885247
Ethiopia,1991,3,1,0,0,0,138,1,2,3,10.885247
Ethiopia,1991,4,1,0,0,0,2428,1,2,4,10.885247
Ethiopia,1991,5,2,0,0,0,30,1,2,5,10.885247
Ethiopia,1991,6,0,0,0,0,850,1,2,6,10.885247
Ethiopia,1991,7,0,0,0,0,0,0,2,7,10.885247
Ethiopia,1991,8,0,0,0,0,0,0,2,8,10.885247
Ethiopia,1991,9,0,0,0,0,0,0,2,9,10.885247
Ethiopia,1991,10,0,0,0,0,0,0,2,10,10.885247
Ethiopia,1991,11,0,0,0,0,0,0,2,11,10.885247
Ethiopia,1991,12,0,0,0,0,0,0,2,12,10.885247
Ethiopia,1992,1,0,0,0,0,0,0,2,13,10.917213
Ethiopia,1992,2,0,0,0,0,0,0,2,14,10.917213
Ethiopia,1992,3,0,0,0,0,0,0,2,15,10.917213
Ethiopia,1992,4,0,0,0,0,0,0,2,16,10.917213
Ethiopia,1992,5,0,0,0,0,0,0,2,17,10.917213
Ethiopia,1992,6,0,0,0,0,0,0,2,18,10.917213
Ethiopia,1992,7,0,0,0,0,0,0,2,19,10.917213
Ethiopia,1992,8,0,0,0,0,0,0,2,20,10.917213
Ethiopia,1992,9,0,0,0,0,0,0,2,21,10.917213
Ethiopia,1992,10,0,0,0,0,0,0,2,22,10.917213
Ethiopia,1992,11,0,0,0,0,0,0,2,23,10.917213
Ethiopia,1992,12,0,0,0,0,0,0,2,24,10.917213
Ethiopia,1993,1,0,0,0,0,0,0,2,25,10.88249
Ethiopia,1993,2,0,0,0,0,0,0,2,26,10.88249
Ethiopia,1993,3,0,0,0,0,0,0,2,27,10.88249
Ethiopia,1993,4,0,0,0,0,0,0,2,28,10.88249
Ethiopia,1993,5,0,0,0,0,0,0,2,29,10.88249
Ethiopia,1993,6,0,0,0,0,0,0,2,30,10.88249
Ethiopia,1993,7,0,0,0,0,0,0,2,31,10.88249
Ethiopia,1993,8,0,0,0,0,0,0,2,32,10.88249
Ethiopia,1993,9,26,0,0,0,0,0,2,33,10.88249
Ethiopia,1993,10,0,0,0,0,0,1,2,34,10.88249
Ethiopia,1993,11,0,0,0,0,0,0,2,35,10.88249
Ethiopia,1993,12,0,0,0,0,0,0,2,36,10.88249
Ethiopia,1991,2,4,0,0,0,0,1,1,2,10.885247
Ethiopia,1991,3,1,0,0,0,1000,1,1,3,10.885247
Ethiopia,1991,4,1,0,0,0,3300,1,1,4,10.885247
Ethiopia,1991,5,2,0,0,0,0,1,1,5,10.885247
Ethiopia,1991,6,0,0,0,0,2600,1,1,6,10.885247
Ethiopia,1991,7,0,0,0,0,0,0,1,7,10.885247
Ethiopia,1991,8,0,0,0,0,0,0,1,8,10.885247
Ethiopia,1991,9,0,0,0,0,0,0,1,9,10.885247
Ethiopia,1991,10,0,0,0,0,0,0,1,10,10.885247
Ethiopia,1991,11,0,0,0,0,0,0,1,11,10.885247
Ethiopia,1991,12,0,0,0,0,0,0,1,12,10.885247
Ethiopia,1992,1,0,0,0,0,0,0,1,13,10.917213
Ethiopia,1992,2,0,0,0,0,0,0,1,14,10.917213
Ethiopia,1992,3,0,0,0,0,0,0,1,15,10.917213
Ethiopia,1992,4,0,0,0,0,0,0,1,16,10.917213
Ethiopia,1992,5,0,0,0,0,0,0,1,17,10.917213
Ethiopia,1992,6,0,0,0,0,0,0,1,18,10.917213
Ethiopia,1992,7,0,0,0,0,0,0,1,19,10.917213
Ethiopia,1992,8,0,0,0,0,0,0,1,20,10.917213
Ethiopia,1992,9,0,0,0,0,0,0,1,21,10.917213
Ethiopia,1992,10,0,0,0,0,0,0,1,22,10.917213
Ethiopia,1992,11,0,0,0,0,0,0,1,23,10.917213
Ethiopia,1992,12,0,0,0,0,0,0,1,24,10.917213
Ethiopia,1993,1,0,0,0,0,0,0,1,25,10.88249
Ethiopia,1993,2,0,0,0,0,0,0,1,26,10.88249
