election_id,district_id,contacted,district_competitiveness,electoral_rules
Canada,Canada; District 7,Contacted,0.74015799,SMD
Canada,Canada; District 4,Not Contacted,0.420428940830503,SMD
Canada,Canada; District 5,Not Contacted,0.69218164,SMD
Canada,Canada; District 5,Not Contacted,0.69218164,SMD
Canada,Canada; District 1,Contacted,0.61034166,SMD
Canada,Canada; District 6,Not Contacted,0.742198892356482,SMD
Canada,Canada; District 6,Contacted,0.742198892356482,SMD
Canada,Canada; District 6,Contacted,0.742198892356482,SMD
Canada,Canada; District 7,Contacted,0.74015799,SMD
Canada,Canada; District 2,Not Contacted,0.821594626328459,SMD
Canada,Canada; District 1,Contacted,0.61034166,SMD
Canada,Canada; District 3,Contacted,0.51803676,SMD
Canada,Canada; District 3,Contacted,0.51803676,SMD
Canada,Canada; District 2,Contacted,0.821594626328459,SMD
Canada,Canada; District 4,Contacted,0.420428940830503,SMD
Canada,Canada; District 6,Not Contacted,0.742198892356482,SMD
Canada,Canada; District 5,Contacted,0.69218164,SMD
Canada,Canada; District 8,Not Contacted,0.66996328,SMD
Canada,Canada; District 9,Not Contacted,0.613182939505478,SMD
Canada,Canada; District 8,Not Contacted,0.66996328,SMD
Canada,Canada; District 8,Contacted,0.66996328,SMD
Canada,Canada; District 9,Contacted,0.613182939505478,SMD
Canada,Canada; District 8,Contacted,0.66996328,SMD
Canada,Canada; District 11,Not Contacted,0.656054924424336,SMD
Canada,Canada; District 8,Not Contacted,0.66996328,SMD
Canada,Canada; District 8,Not Contacted,0.66996328,SMD
Canada,Canada; District 8,Contacted,0.66996328,SMD
Canada,Canada; District 9,Contacted,0.613182939505478,SMD
Canada,Canada; District 10,Not Contacted,0.607426659257585,SMD
Canada,Canada; District 8,Not Contacted,0.66996328,SMD
Canada,Canada; District 9,Contacted,0.613182939505478,SMD
Canada,Canada; District 10,Contacted,0.607426659257585,SMD
Canada,Canada; District 10,Not Contacted,0.607426659257585,SMD
Canada,Canada; District 20,Not Contacted,0.703320514309676,SMD
Canada,Canada; District 15,Contacted,0.75852442,SMD
Canada,Canada; District 20,Not Contacted,0.703320514309676,SMD
Canada,Canada; District 12,Not Contacted,0.579694013005661,SMD
